Page,URL,Primary Keyword,Secondary Keywords,Tertiary Keywords,Page Title,Meta Description,H1 Recommendation,Internal Links To,Priority
Erection All Risk,https://shoonya.care/#erection-all-risk-insurance,Erection all risk insurance,Construction insurance; Project coverage; Equipment installation,Commissioning; Installation; Professional indemnity,Erection All Risk Insurance for Projects | Shoonya,"Erection all risk insurance for construction and commissioning projects. Complete protection during equipment installation and testing.",Erection All Risk Coverage,Contractors All Risk; Engineering Insurance; Solutions,0.8
Marine Cargo,https://shoonya.care/#marine-cargo-insurance,Marine cargo insurance,Import export; Shipment protection; Transit insurance,Goods in transit; Marine; Customs,Marine Cargo Insurance | Shoonya,"Marine cargo insurance protecting goods in transit by sea, air, and land. Comprehensive coverage for import/export shipments.",Marine Cargo Insurance,Credit Insurance; Trade Solutions,0.85
Credit Insurance,https://shoonya.care/#credit-insurance,Credit insurance,Trade credit; Bad debt; Payment protection,Receivables; Customer non-payment; Risk,Trade Credit & Bad Debt Insurance | Shoonya,"Trade credit insurance protecting against customer non-payment and bad debts. Safeguard your business cash flow and receivables.",Credit Insurance Protection,Marine Cargo; Money Insurance; Solutions,0.85
Money Insurance,https://shoonya.care/#money-insurance,Money insurance,Cash protection; Valuables insurance; Theft coverage,Security; Loss; In transit,Money & Valuables Insurance | Shoonya,"Money insurance protecting cash, securities, and valuables against loss or theft. Essential for retail and cash-handling businesses.",Money Insurance Coverage,Shopkeeper Insurance; Business Solutions,0.8
India All Risk,https://shoonya.care/#india-all-risk-insurance,India all risk insurance,Goods protection; Transit insurance; Goods in transit,Storage; Handling; Distribution,India All Risk Insurance | Shoonya,"Comprehensive all risk insurance for goods and products in India. Full protection during storage, handling, and distribution.",India All Risk Coverage,Marine Cargo; Industrial Solutions,0.8
Articles Blog,https://shoonya.care/#articles,Insurance articles,Insurance tips; Insurance guides; Blog,Education; Awareness; Content,Insurance Articles & Guides | Shoonya,"Read expert articles on insurance tips, coverage guides, and risk management. Learn how to protect what matters most to you.",Latest Insurance Articles,Monthly Articles; Home; Solutions,0.8
Privacy Policy,https://shoonya.care/#privacy-policy,Privacy policy,Data protection; Personal information; GDPR,Compliance; Privacy; Security,Privacy Policy | Shoonya,"Privacy policy of Shoonya Insurance Brokers. Learn how we collect, use, and protect your personal information.",Privacy & Data Protection,Terms; Legal; Footer,0.6
Terms Conditions,https://shoonya.care/#terms-and-conditions,Terms and conditions,Legal; User agreement; Web terms,Disclaimer; Rights; Liability,Terms & Conditions | Shoonya,"Terms and conditions for using Shoonya Insurance Brokers website and services. Important legal information and user agreements.",Website Terms & Conditions,Privacy Policy; Legal; Footer,0.6
Cookies Policy,https://shoonya.care/#cookie-policy,Cookie policy,Cookies; Tracking; Privacy,Consent; Web; Analytics,Cookie Policy | Shoonya,"Cookie policy for Shoonya Insurance Brokers. Understand how we use cookies to improve your website experience.",Website Cookies & Privacy,Privacy Policy; Terms; Legal,0.6
Disclaimer,https://shoonya.care/#disclaimer,Disclaimer,Legal disclaimer; Liability; Disclaimer terms,Risk; Responsibility; Compliance,Disclaimer | Shoonya,"Legal disclaimer for Shoonya Insurance Brokers website and services. Important disclaimers and liability limitations.",Legal Disclaimer & Liability,Terms; Privacy Policy; Legal,0.6
CSR Page,https://shoonya.care/#csr,CSR,Corporate social responsibility; Community; Sustainability,Impact; Environment; Society,Corporate Social Responsibility | Shoonya,"Shoonya's corporate social responsibility initiatives and community programs. Learn about our commitment to society and sustainability.",Our CSR Initiatives,Articles; Home; Solutions,0.7
